upc,title,release_year,runtime_minutes,director_names,actor_names,studio_name,metadata_source,metadata_status,estimated_value_low_cents,estimated_value_high_cents,value_search_url,review_flags
024543103622,Hangman's Curse directed by Rafal Zielinski,2004,,,,20th Century Fox Home Entertainment,UPCitemdb,partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Hangman%27s%20Curse%20directed%20by%20Rafal%20Zielinski%20024543103622%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
024543114215,Master and Commander: The Far Side of the World,2003,137,,,20th Century Studios,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Master%20and%20Commander%3A%20The%20Far%20Side%20of%20the%20World%20024543114215%20DVD%20sold,missing_director;missing_cast;missing_value
024543116080.3,Cheaper by the Dozen,2003,106,,,Disney,"UPCitemdb, Wikipedia",enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Cheaper%20by%20the%20Dozen%20024543116080.3%20DVD%20sold,missing_director;missing_cast;missing_value
024543123231,Catch That Kid,2004,,,,Unbranded,"UPCitemdb, Wikipedia",partially_enriched,,,https://duckduckgo.com/?q=site%3Aebay.com%20Catch%20That%20Kid%20024543123231%20DVD%20sold,missing_runtime;missing_director;missing_cast;missing_value
024543128083.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543128083.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543131533.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543131533.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543135579.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543135579.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543135869.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543135869.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543139652,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543139652%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
024543151937.3,,,,,,,,pending,,,https://duckduckgo.com/?q=site%3Aebay.com%20024543151937.3%20DVD%20sold,missing_title;missing_year;missing_runtime;missing_director;missing_cast;missing_value
